horizon:6 mse:0.06738501042127609, mae:0.23176495730876923, smape:15.406592190265656, dtw:not calculated
horizon:7 mse:0.08942250162363052, mae:0.2605022192001343, smape:17.29685515165329, dtw:not calculated
horizon:8 mse:0.09765607863664627, mae:0.2308395802974701, smape:15.269927680492401, dtw:not calculated
horizon:9 mse:0.10984611511230469, mae:0.2772557735443115, smape:18.379013240337372, dtw:not calculated
horizon:10 mse:0.8835951089859009, mae:0.8352862596511841, smape:53.34689021110535, dtw:not calculated
horizon:11 mse:0.3306850492954254, mae:0.48931798338890076, smape:31.98925256729126, dtw:not calculated
horizon:12 mse:0.5835806727409363, mae:0.6654037237167358, smape:43.00570487976074, dtw:not calculated
horizon:13 mse:1.152403712272644, mae:0.9083202481269836, smape:56.87037706375122, dtw:not calculated
horizon:14 mse:1.5647361278533936, mae:1.10604727268219, smape:68.30635666847229, dtw:not calculated
horizon:15 mse:1.6231416463851929, mae:1.0840355157852173, smape:66.43927693367004, dtw:not calculated
horizon:16 mse:1.9756317138671875, mae:1.2900772094726562, smape:78.88175249099731, dtw:not calculated
horizon:17 mse:1.5383799076080322, mae:1.1954066753387451, smape:75.02836585044861, dtw:not calculated
horizon:18 mse:2.0335536003112793, mae:1.4239730834960938, smape:88.3853554725647, dtw:not calculated
horizon:19 mse:1.0364609956741333, mae:1.0098631381988525, smape:64.81208801269531, dtw:not calculated
horizon:20 mse:0.6746731400489807, mae:0.7808886766433716, smape:50.58268904685974, dtw:not calculated
horizon:21 mse:1.19346022605896, mae:1.0166668891906738, smape:64.28995728492737, dtw:not calculated
horizon:22 mse:1.013562560081482, mae:0.9370816946029663, smape:59.751319885253906, dtw:not calculated
horizon:23 mse:1.1745498180389404, mae:1.0290358066558838, smape:65.33093452453613, dtw:not calculated
horizon:24 mse:1.388309359550476, mae:1.1346070766448975, smape:71.57093286514282, dtw:not calculated
horizon:25 mse:1.3465893268585205, mae:1.1167700290679932, smape:70.55951356887817, dtw:not calculated
horizon:26 mse:0.7584704756736755, mae:0.8656467199325562, smape:56.13552927970886, dtw:not calculated
horizon:27 mse:0.3678419291973114, mae:0.5727677345275879, smape:37.594613432884216, dtw:not calculated
horizon:28 mse:0.4839455485343933, mae:0.695279598236084, smape:45.560598373413086, dtw:not calculated
horizon:29 mse:0.2962706685066223, mae:0.5273199081420898, smape:34.75000262260437, dtw:not calculated
horizon:30 mse:0.04444742947816849, mae:0.1834326684474945, smape:12.20502033829689, dtw:not calculated
horizon:31 mse:0.014366383664309978, mae:0.1059250459074974, smape:7.0602260529994965, dtw:not calculated
horizon:32 mse:0.021905869245529175, mae:0.1104499101638794, smape:7.355169951915741, dtw:not calculated
horizon:33 mse:0.22802074253559113, mae:0.46502265334129333, smape:30.733582377433777, dtw:not calculated
horizon:34 mse:0.5459635257720947, mae:0.7349133491516113, smape:48.03220331668854, dtw:not calculated
horizon:35 mse:0.6512676477432251, mae:0.7959063649177551, smape:51.783597469329834, dtw:not calculated
horizon:36 mse:0.19799640774726868, mae:0.3399072289466858, smape:22.344477474689484, dtw:not calculated
horizon:37 mse:0.15899750590324402, mae:0.35086458921432495, smape:23.210814595222473, dtw:not calculated
horizon:38 mse:0.7533872127532959, mae:0.8506340980529785, smape:55.09909987449646, dtw:not calculated
horizon:39 mse:0.04531025141477585, mae:0.1653004288673401, smape:10.990001261234283, dtw:not calculated
horizon:40 mse:0.28815215826034546, mae:0.5315210223197937, smape:35.06574630737305, dtw:not calculated
horizon:41 mse:0.04378901794552803, mae:0.17166538536548615, smape:11.416256427764893, dtw:not calculated
horizon:42 mse:0.2856101393699646, mae:0.5138266086578369, smape:33.86528789997101, dtw:not calculated
horizon:43 mse:0.6006660461425781, mae:0.7441607713699341, smape:48.4114408493042, dtw:not calculated
horizon:44 mse:0.46930599212646484, mae:0.6757940053939819, smape:44.27128732204437, dtw:not calculated
horizon:45 mse:0.43523889780044556, mae:0.6543691754341125, smape:42.9361492395401, dtw:not calculated
horizon:46 mse:0.2529023289680481, mae:0.4869716763496399, smape:32.14730620384216, dtw:not calculated
horizon:47 mse:0.2761573791503906, mae:0.5024644136428833, smape:33.11866819858551, dtw:not calculated
horizon:48 mse:0.09941785037517548, mae:0.31481581926345825, smape:20.921704173088074, dtw:not calculated
===============================================================================
average metrics: horizon upto:6 mse:0.13063760101795197, mae:0.2958279550075531, smape:19.558177888393402, dtw:not calculated
average metrics: horizon upto:12 mse:0.23988428711891174, mae:0.3777977228164673, smape:24.71972554922104, dtw:not calculated
===============================================================================
average of horizons: mse:0.5815311670303345, mae:0.6234438419342041, smape:40.05113244056702, dtw:not calculated
mean smape over horizons:  40.051133651286364
fs47816@b8-3 Time-Series-Library$ python -u run.py   --task_name long_term_forecast   --is_training 1   --root_path ./dataset/illness/   --data_path national_illness_24_4.csv   --model_id modelitrans   --model iTransformer   --data custom   --features MS   --seq_len 56   --label_len 0   --pred_len 48   --e_layers 5   --d_layers 1   --factor 3   --enc_in 5   --dec_in 5   --c_out 5   --des 'Exp'   --d_model 512  --d_ff 512  --target ILITOTAL   --itr 1 --with_retrain 0;


